target_deg,actual_deg,error_deg,vq_V,elec_deg
0.0,0.09,0.088,-0.0546,343.6
2.0,1.32,-0.682,0.2005,352.2
4.0,3.6,-0.396,0.1961,8.2
6.0,5.54,-0.463,0.32,21.8
8.0,9.14,1.141,0.104,47.0
10.0,10.46,0.459,-0.033,56.2
12.0,12.57,0.568,-0.2614,71.0
14.0,13.54,-0.465,-0.0893,77.8
16.0,16.88,0.881,-0.0417,103.9
18.0,17.93,-0.07,0.1024,108.5
20.0,21.18,1.182,-0.3947,131.3
22.0,21.88,-0.115,-0.2575,136.2
24.0,23.55,-0.445,-0.1046,147.9
26.0,26.19,0.191,-0.1679,166.3
28.0,27.51,-0.49,0.0434,175.6
30.0,30.15,0.146,0.0495,194.0
32.0,31.34,-0.656,0.3251,205.1
34.0,34.08,0.084,0.1483,224.7
36.0,35.77,-0.229,0.139,233.4
38.0,38.41,0.408,-0.0796,251.9
40.0,39.37,-0.625,0.2374,258.6
42.0,42.8,0.803,-0.0675,282.6
44.0,43.68,-0.318,0.0573,288.8
46.0,46.76,0.758,-0.3006,310.3
48.0,47.64,-0.363,-0.173,316.5
50.0,49.83,-0.166,-0.0986,331.8
52.0,51.59,-0.408,-0.0612,344.2
54.0,52.97,-1.032,0.2441,352.0
56.0,55.55,-0.453,0.188,11.8
58.0,61.17,3.172,-0.1157,51.2
60.0,60.64,0.645,-0.0609,47.5
62.0,61.52,-0.477,0.0791,53.7
64.0,64.01,0.014,0.0445,70.3
66.0,65.48,-0.521,0.178,81.4
68.0,69.33,1.334,0.0601,112.8
70.0,66.53,-3.467,0.2739,88.7
72.0,73.12,1.125,-0.2646,134.9
74.0,73.92,-0.084,-0.1368,140.4
76.0,75.59,-0.414,0.0285,152.1
78.0,78.05,0.047,-0.0165,169.3
80.0,79.03,-0.972,0.245,187.1
82.0,81.56,-0.437,0.1134,193.9
84.0,83.41,-0.592,0.3292,206.9
86.0,86.66,0.66,-0.2519,229.6
88.0,88.33,0.33,-0.353,241.3
90.0,89.74,-0.264,-0.2815,251.2
92.0,90.88,-1.121,-0.0135,259.2
94.0,93.87,-0.133,0.155,280.1
96.0,95.98,-0.023,0.1722,294.8
98.0,98.44,0.437,-0.0141,312.1
100.0,99.58,-0.42,0.1576,320.1
102.0,102.39,0.393,-0.0908,339.8
104.0,103.71,-0.289,-0.0075,349.0
106.0,105.73,-0.268,0.1276,3.1
108.0,107.84,-0.158,0.1221,17.9
110.0,108.02,-1.982,0.2471,19.1
112.0,111.53,-0.467,-0.1257,43.7
114.0,114.35,0.346,-0.3045,63.4
116.0,115.93,-0.072,-0.2596,74.5
118.0,117.51,-0.49,-0.0773,85.6
120.0,120.23,0.234,-0.0764,104.6
122.0,121.82,-0.184,0.1206,115.7
124.0,124.45,0.453,-0.0911,134.2
126.0,125.51,-0.492,0.0916,141.6
128.0,127.53,-0.471,0.2597,155.7
130.0,130.08,0.078,0.2014,173.6
132.0,132.45,0.451,0.1487,190.2
134.0,132.4,-1.596,0.551,200.8
136.0,137.02,1.021,-0.1591,222.2
138.0,137.72,-0.275,-0.0153,227.1
140.0,141.4,1.4,-0.3936,250.2
142.0,141.77,-0.232,-0.1781,255.4
144.0,142.9,-1.102,0.0921,252.1
