target_deg,actual_deg,error_deg,vq_V,elec_deg
146.0,146.34,0.338,-0.0816,287.4
148.0,147.02,-0.979,-0.1678,291.5
150.0,149.44,-0.558,-0.0754,309.1
152.0,151.52,-0.477,-0.1234,323.7
154.0,152.67,-1.334,0.274,328.6
156.0,155.57,-0.434,0.279,352.0
158.0,158.2,0.203,0.2247,10.4
160.0,159.52,-0.479,0.3547,19.7
162.0,159.35,-2.651,0.3878,19.4
164.0,163.56,-0.436,-0.1023,48.0
166.0,166.46,0.465,-0.258,68.3
168.0,168.22,0.223,-0.2174,80.6
170.0,169.54,-0.459,0.0729,89.8
172.0,172.44,0.441,-0.0367,110.1
174.0,172.88,-1.119,0.0072,113.2
176.0,176.22,0.221,-0.2038,136.6
178.0,178.07,0.066,-0.1797,149.5
180.0,179.56,-0.439,-0.1007,159.9
182.0,181.32,-0.682,0.1015,172.2
184.0,183.78,-0.221,0.2251,189.5
186.0,185.54,-0.463,0.3969,201.8
188.0,188.96,0.965,0.0798,225.8
190.0,189.49,-0.508,0.0992,229.5
192.0,192.66,0.656,-0.2449,251.6
194.0,193.54,-0.465,-0.11,257.8
196.0,195.38,-0.619,0.1426,270.7
198.0,197.49,-0.51,0.0295,285.4
200.0,198.02,-1.983,-0.0761,289.1
202.0,201.53,-0.467,-0.2028,313.7
204.0,203.55,-0.445,-0.035,327.9
206.0,206.28,0.279,-0.1159,347.0
208.0,207.51,-0.49,0.0046,355.6
210.0,209.53,-0.469,0.1259,9.7
212.0,211.45,-0.551,0.32,27.1
214.0,214.54,0.541,0.0292,44.8
216.0,215.6,-0.404,0.1376,52.2
218.0,218.41,0.408,0.0303,71.9
220.0,220.17,0.166,0.0828,84.2
222.0,222.45,0.451,-0.0085,100.2
224.0,223.51,-0.494,-0.0047,107.5
226.0,226.58,0.582,-0.3142,129.1
228.0,228.65,0.646,-0.3193,138.3
230.0,230.1,0.098,-0.1391,153.7
232.0,231.51,-0.49,0.0425,163.2
234.0,233.94,-0.057,0.0331,193.5
236.0,235.55,-0.453,0.1033,191.8
238.0,237.48,-0.521,0.2894,205.4
240.0,240.56,0.557,-0.0258,226.9
242.0,241.61,-0.389,0.0843,234.3
244.0,243.93,-0.072,-0.0385,252.2
246.0,245.48,-0.521,0.132,261.4
248.0,247.41,-0.588,0.316,274.9
250.0,250.05,0.049,0.2484,293.3
252.0,253.12,1.125,-0.256,314.9
254.0,253.92,-0.084,-0.1293,320.4
256.0,255.67,-0.326,-0.0918,332.7
258.0,257.96,-0.041,-0.057,348.7
260.0,260.33,0.332,-0.033,5.3
262.0,262.27,0.266,0.0172,18.9
264.0,263.23,-0.768,0.4006,25.6
266.0,266.48,0.484,-0.217,48.4
268.0,267.8,-0.197,-0.2241,57.6
270.0,269.17,-0.829,-0.1374,67.2
272.0,270.62,-1.385,0.1132,77.3
274.0,274.92,0.922,0.0197,107.5
276.0,276.15,0.152,0.1164,116.1
278.0,278.44,0.437,0.0007,132.1
280.0,279.58,-0.42,0.1444,140.1
282.0,282.39,0.393,-0.1042,159.8
284.0,283.54,-0.465,0.025,167.8
286.0,285.64,-0.355,0.108,182.5
288.0,287.84,-0.158,0.0938,197.9
290.0,291.18,1.182,-0.2574,221.3
292.0,291.8,-0.203,-0.1235,225.6
294.0,294.52,0.521,-0.4289,244.7
296.0,296.1,0.104,-0.384,255.7
298.0,297.51,-0.49,-0.0951,265.6
300.0,300.41,0.41,-0.0316,285.9
302.0,301.55,-0.447,0.2241,293.9
304.0,304.43,0.431,0.0199,314.7
306.0,305.95,-0.053,-0.0332,324.6
308.0,307.44,-0.559,0.2217,335.1
310.0,310.08,0.078,0.2104,353.6
312.0,312.45,0.451,0.0843,10.2
314.0,314.48,0.485,0.0468,23.3
316.0,316.76,0.758,-0.2016,40.3
318.0,314.49,-3.506,0.3613,21.6
320.0,320.8,0.801,-0.3328,68.6
322.0,322.6,0.598,-0.3946,80.8
324.0,322.91,-1.09,0.0633,83.4
326.0,326.34,0.338,-0.1748,107.4
328.0,327.66,-0.344,0.0354,116.6
330.0,330.47,0.469,-0.1968,136.3
332.0,331.52,-0.477,-0.0013,143.7
334.0,334.34,0.336,0.0493,163.4
336.0,335.57,-0.434,0.1767,172.0
338.0,338.29,0.291,0.286,191.0
340.0,339.7,-0.303,0.3826,200.9
342.0,338.29,-3.709,0.377,191.0
344.0,343.83,-0.172,-0.0858,229.8
346.0,346.46,0.465,-0.2624,248.3
348.0,347.52,-0.48,-0.1253,255.6
350.0,349.28,-0.723,0.1745,267.9
352.0,352.09,0.09,-0.0619,287.6
354.0,352.53,-1.471,-0.0697,290.7
356.0,356.04,0.045,-0.2273,315.3
358.0,357.98,-0.021,-0.1805,328.9
