target_deg,actual_deg,error_deg,vq_V,elec_deg
0.0,359.11,-0.887,0.1153,335.2
1.0,0.53,-0.473,0.1569,346.7
2.0,1.67,-0.33,0.233,354.7
3.0,2.55,-0.451,0.307,0.8
4.0,3.4,-0.596,0.326,6.8
5.0,4.57,-0.43,0.3431,15.0
6.0,5.54,-0.463,0.4313,21.8
7.0,6.5,-0.496,0.5129,28.5
8.0,6.68,-1.32,0.4125,30.2
9.0,5.98,-3.023,0.538,24.8
10.0,5.25,-4.749,0.56,18.0
11.0,10.81,-0.189,0.0434,58.7
12.0,13.71,1.71,-0.4642,72.1
13.0,13.45,0.447,-0.2391,77.1
14.0,13.8,-0.201,-0.1642,79.6
15.0,14.68,-0.322,0.0039,85.8
16.0,16.35,0.348,-0.0269,97.4
17.0,16.96,-0.037,0.0042,101.7
18.0,17.58,-0.422,0.0587,106.1
19.0,20.13,1.127,-0.495,123.9
20.0,20.48,0.479,-0.4406,126.4
21.0,23.18,2.175,-0.385,140.8
22.0,22.13,0.127,-0.2116,148.8
23.0,23.12,0.115,-0.1768,144.8
24.0,23.55,-0.445,-0.094,147.9
25.0,24.61,-0.391,-0.0296,155.3
26.0,25.84,-0.16,-0.0493,163.9
27.0,26.54,-0.457,0.0206,168.8
28.0,27.6,-0.402,0.1247,176.2
29.0,28.92,-0.084,0.0774,185.4
30.0,29.62,-0.381,0.1251,190.3
31.0,30.59,-0.414,0.1961,197.1
32.0,31.66,-0.34,0.3665,202.9
33.0,34.63,1.629,-0.0207,225.4
34.0,34.45,0.453,-0.0266,224.2
35.0,34.72,-0.283,0.0573,226.0
36.0,35.51,-0.492,0.1225,231.6
37.0,37.44,0.441,-0.0378,245.1
38.0,38.46,0.461,-0.1091,251.9
39.0,38.85,-0.152,-0.0433,254.9
40.0,38.68,-1.316,0.3525,259.8
41.0,40.52,-0.482,0.2493,266.6
42.0,42.45,0.451,0.0093,280.2
43.0,42.8,-0.197,0.0816,282.6
44.0,44.47,0.473,-0.0389,294.3
45.0,44.82,-0.176,0.0332,296.8
46.0,46.67,0.67,-0.2842,309.7
47.0,46.93,-0.066,-0.2066,311.5
48.0,47.55,-0.451,-0.152,315.8
49.0,48.52,-0.484,-0.097,322.6
50.0,49.57,-0.43,-0.0852,330.0
51.0,51.06,0.064,-0.1425,340.5
52.0,51.68,-0.32,-0.0916,344.8
53.0,52.65,-0.354,-0.03,351.5
54.0,54.32,0.316,0.0213,3.2
55.0,55.11,0.107,0.04,8.8
56.0,55.63,-0.365,0.1029,12.5
57.0,57.04,0.041,0.1126,22.3
58.0,57.57,-0.432,0.1938,26.0
59.0,59.77,0.766,-0.062,41.4
60.0,60.29,0.293,-0.021,45.1
61.0,60.91,-0.092,0.0207,49.4
62.0,62.23,0.227,-0.0141,58.6
63.0,62.75,-0.246,0.0414,62.3
64.0,63.9,-0.104,-0.0327,70.3
65.0,64.51,-0.488,0.0489,74.6
66.0,65.57,-0.434,0.1278,82.0
67.0,66.27,-0.73,0.4208,86.9
68.0,68.99,0.994,0.1108,105.6
69.0,69.26,0.258,0.1799,107.8
70.0,69.79,-0.215,0.1387,111.5
