target_deg,actual_deg,error_deg,vq_V,elec_deg
71.0,69.7,-1.303,0.2197,110.9
72.0,73.12,1.125,-0.3172,134.9
73.0,73.39,0.389,-0.2518,136.7
74.0,73.92,-0.084,-0.2014,140.4
75.0,74.97,-0.029,-0.115,147.8
76.0,75.59,-0.414,-0.0305,152.1
77.0,76.55,-0.447,0.0514,158.9
78.0,78.13,0.135,-0.0115,170.0
79.0,78.66,-0.338,0.0468,173.6
80.0,80.24,0.244,-0.0193,184.7
81.0,80.95,-0.053,0.0123,189.6
82.0,82.15,0.148,0.0708,198.0
83.0,82.53,-0.471,0.2659,200.7
84.0,82.79,-1.207,0.1838,202.6
85.0,81.74,-3.26,0.2201,195.8
86.0,86.22,0.221,-0.1653,226.6
87.0,86.92,-0.076,-0.1314,231.5
88.0,87.71,-0.285,-0.2153,237.0
89.0,88.95,-0.055,-0.2382,245.6
90.0,89.56,-0.439,-0.169,249.9
91.0,90.53,-0.473,-0.1094,256.7
92.0,91.14,-0.857,0.1306,261.0
93.0,92.55,-0.451,0.241,270.8
94.0,94.39,0.395,0.0368,283.8
95.0,94.83,-0.166,0.1,286.8
96.0,95.54,-0.463,0.1827,291.8
97.0,97.56,0.559,-0.1976,305.9
98.0,97.91,-0.09,-0.1285,308.4
99.0,98.7,-0.299,-0.0971,313.9
100.0,99.58,-0.42,-0.0528,320.1
101.0,100.46,-0.541,0.1821,326.2
102.0,102.48,0.48,-0.1014,340.4
103.0,102.83,-0.168,-0.0292,342.8
104.0,103.54,-0.465,0.0298,347.8
105.0,104.77,-0.234,0.0655,356.4
106.0,106.44,0.436,0.0177,8.1
107.0,107.38,0.379,-0.0349,15.0
108.0,107.93,-0.07,0.101,18.5
109.0,111.53,2.533,-0.1206,43.7
110.0,107.75,-2.246,0.2592,17.3
111.0,111.45,0.445,-0.1657,43.1
112.0,111.8,-0.203,-0.0932,45.6
113.0,112.93,-0.071,-0.2119,52.4
114.0,114.43,0.434,-0.3784,64.0
115.0,114.79,-0.215,-0.3036,66.5
116.0,116.19,0.191,-0.3489,76.3
117.0,116.08,-0.92,-0.2388,71.2
118.0,116.98,-1.018,0.0162,81.9
119.0,118.65,-0.348,0.1141,93.6
120.0,119.97,-0.029,0.0812,102.8
121.0,120.59,-0.414,0.1625,107.1
122.0,121.49,-0.505,0.0657,108.3
123.0,121.35,-1.646,-0.0011,115.2
124.0,124.37,0.365,-0.0669,133.6
125.0,124.63,-0.371,0.0197,135.4
126.0,125.6,-0.404,0.0965,142.2
127.0,127.54,0.541,0.0807,154.7
128.0,128.32,0.32,0.1239,161.2
129.0,128.76,-0.24,0.1891,164.3
130.0,130.17,0.166,0.1879,174.2
131.0,130.61,-0.395,0.2575,177.2
132.0,132.45,0.451,0.0361,190.2
133.0,132.8,-0.197,0.109,192.6
134.0,133.51,-0.494,0.2982,197.5
135.0,134.65,-0.352,0.377,205.5
136.0,136.85,0.846,-0.2264,220.9
137.0,137.11,0.109,-0.1535,222.8
138.0,138.25,0.252,-0.1729,230.8
139.0,138.78,-0.221,-0.1162,234.5
140.0,138.78,-1.221,-0.1175,234.5
141.0,141.06,0.064,-0.2585,250.5
142.0,141.59,-0.408,-0.1948,254.2
143.0,142.73,-0.266,-0.1349,262.1
144.0,143.35,-0.65,0.0507,266.5
145.0,144.67,-0.332,0.151,275.7
146.0,146.43,0.426,-0.2057,288.0
147.0,146.78,-0.223,-0.1329,290.4
148.0,147.57,-0.432,-0.0808,296.0
149.0,149.41,0.414,-0.3347,308.9
150.0,149.77,-0.234,-0.2618,311.4
151.0,150.91,-0.092,-0.2052,319.4
152.0,151.52,-0.477,-0.1049,323.7
153.0,152.49,-0.51,0.1426,330.4
154.0,154.42,0.424,0.0182,344.0
155.0,153.71,-1.295,0.4014,338.5
156.0,155.57,-0.434,0.2827,352.0
157.0,156.8,-0.203,0.2785,0.6
158.0,158.29,0.291,0.2436,11.0
159.0,158.82,-0.182,0.2991,14.7
160.0,159.61,-0.391,0.358,20.3
161.0,164.0,3.004,-0.1537,51.0
162.0,159.35,-2.653,0.2458,20.1
163.0,163.56,0.564,-0.1175,48.0
164.0,164.09,0.092,-0.0711,51.7
165.0,164.09,-0.908,-0.0999,51.7
166.0,166.46,0.465,-0.3284,68.3
167.0,166.82,-0.184,-0.2565,70.7
168.0,168.22,0.223,-0.2199,80.6
169.0,168.57,-0.426,-0.1341,83.0
170.0,169.28,-0.723,0.1818,87.9
171.0,171.56,0.562,-0.1451,103.9
172.0,171.83,-0.174,-0.0648,105.8
173.0,172.53,-0.471,-0.0013,110.7
174.0,172.79,-1.207,0.0328,112.6
175.0,176.34,1.344,-0.5009,138.8
176.0,176.13,0.133,-0.3377,135.9
177.0,176.66,-0.34,-0.2786,139.6
178.0,177.89,-0.109,-0.1878,148.2
179.0,178.51,-0.494,-0.1035,152.5
180.0,179.65,-0.352,0.0244,160.5
181.0,180.53,-0.473,0.1413,166.7
182.0,182.1,0.098,0.1607,174.8
183.0,183.34,0.34,0.1593,186.4
184.0,183.6,-0.396,0.2534,188.2
185.0,184.57,-0.43,0.3158,195.0
186.0,185.45,-0.551,0.5126,201.2
187.0,188.53,1.525,0.0459,222.7
188.0,188.35,0.35,0.0266,221.5
189.0,188.88,-0.123,0.0786,225.1
190.0,186.33,-3.672,0.5541,207.3
191.0,192.39,1.393,-0.3222,249.8
192.0,192.48,0.48,-0.3175,250.4
193.0,192.83,-0.168,-0.2463,252.8
194.0,193.54,-0.465,-0.1992,257.8
195.0,194.24,-0.762,0.0895,262.7
196.0,194.81,-1.186,0.1944,266.5
197.0,197.49,0.49,-0.1252,285.4
198.0,197.84,-0.158,-0.0544,287.9
199.0,198.81,-0.191,-0.0281,294.7
200.0,199.51,-0.488,0.0253,299.6
201.0,201.53,0.533,-0.2662,313.7
202.0,201.8,-0.203,-0.1849,315.6
203.0,202.59,-0.412,-0.108,321.1
204.0,203.55,-0.445,-0.0661,327.9
205.0,204.61,-0.391,-0.0413,335.3
206.0,205.75,-0.248,-0.0479,343.3
207.0,206.54,-0.457,0.0465,348.8
208.0,207.69,-0.314,0.0438,356.8
209.0,208.74,-0.26,0.0516,4.2
210.0,208.77,-1.23,0.2959,13.8
211.0,210.59,-0.414,0.2049,17.1
212.0,211.29,-0.711,0.4522,22.0
213.0,214.54,1.541,0.015,44.8
214.0,214.45,0.453,-0.0046,44.2
215.0,214.8,-0.195,0.0679,46.6
216.0,215.68,-0.316,0.0924,52.8
217.0,217.27,0.266,-0.0099,63.9
218.0,218.41,0.408,-0.1035,71.9
219.0,218.85,-0.152,-0.0414,74.9
220.0,219.46,-0.537,0.1858,79.2
221.0,220.52,-0.482,0.2495,86.6
222.0,222.63,0.627,-0.1189,101.4
223.0,222.98,-0.021,-0.0517,103.9
224.0,223.68,-0.318,-0.0119,108.8
225.0,224.38,-0.615,-0.0434,113.7
226.0,226.51,0.506,-0.3197,128.5
227.0,226.93,-0.066,-0.2642,131.5
228.0,227.55,-0.451,-0.2011,135.8
229.0,228.52,-0.484,-0.1412,142.6
230.0,229.66,-0.342,-0.0915,150.6
231.0,231.33,0.328,-0.2241,162.3
232.0,231.77,-0.232,-0.1602,165.4
233.0,232.82,-0.178,-0.0561,172.8
234.0,233.35,-0.65,0.1892,176.5
235.0,235.28,0.283,0.0833,190.0
236.0,235.72,-0.277,0.1488,193.1
237.0,236.43,-0.574,0.1931,198.0
238.0,237.57,-0.432,0.3038,206.0
239.0,239.85,0.854,-0.1068,222.0
240.0,240.21,0.205,-0.0453,224.4
241.0,240.91,-0.092,-0.0129,229.4
242.0,241.52,-0.477,0.0735,233.7
243.0,243.46,0.457,-0.1197,247.2
244.0,243.72,-0.279,-0.0366,249.1
245.0,244.6,-0.4,-0.0061,255.2
246.0,245.57,-0.434,0.0585,262.0
247.0,246.27,-0.73,0.3474,266.9
248.0,249.51,1.511,-0.0285,290.5
249.0,249.35,0.346,0.1122,288.4
250.0,249.79,-0.215,0.1753,291.5
251.0,249.79,-1.215,0.1628,291.5
252.0,253.12,1.125,-0.3587,314.9
253.0,253.39,0.389,-0.2934,316.7
254.0,253.92,-0.084,-0.2429,320.4
255.0,254.97,-0.029,-0.162,327.8
256.0,255.59,-0.414,-0.0764,332.1
257.0,256.55,-0.447,-0.0203,338.9
258.0,257.52,-0.48,0.0705,345.6
259.0,258.57,-0.426,0.1155,353.0
260.0,260.42,0.42,-0.0202,5.9
261.0,260.77,-0.229,0.0527,8.9
262.0,262.27,0.266,0.0232,18.9
263.0,262.62,-0.383,0.1012,21.3
264.0,265.96,1.957,-0.2252,44.7
265.0,262.62,-2.383,0.2571,21.3
266.0,266.4,0.396,-0.174,47.8
267.0,266.92,-0.076,-0.1219,51.5
268.0,267.71,-0.285,-0.0931,57.0
269.0,269.3,0.297,-0.2292,68.1
270.0,269.82,-0.176,-0.176,71.8
271.0,270.62,-0.385,-0.144,77.3
272.0,271.23,-0.77,0.08,81.6
273.0,272.55,-0.451,0.1957,90.8
274.0,273.87,-0.133,0.1714,100.1
275.0,275.1,0.098,0.1456,108.7
276.0,274.84,-1.162,0.349,109.9
277.0,276.33,-0.672,0.1695,117.3
