target_deg,actual_deg,error_deg,vq_V,elec_deg
185.0,185.1,0.098,0.2153,198.7
186.0,185.54,-0.463,0.291,201.8
187.0,186.57,-0.427,0.1645,199.6
188.0,186.33,-1.672,0.5439,207.3
189.0,189.32,0.316,0.0234,228.2
190.0,189.07,-0.926,0.2387,226.8
191.0,190.63,-0.365,0.0611,237.5
192.0,191.99,-0.014,-0.186,256.2
193.0,192.66,-0.344,-0.1671,251.6
194.0,193.54,-0.465,-0.1014,257.8
195.0,194.85,-0.146,-0.0306,267.0
196.0,195.56,-0.443,0.137,271.9
197.0,197.4,0.402,-0.0815,284.8
198.0,197.75,-0.246,-0.0081,287.3
199.0,199.16,0.16,-0.0514,297.1
200.0,201.09,1.094,-0.4305,310.7
201.0,201.45,0.445,-0.3757,313.1
202.0,201.97,-0.027,-0.327,316.8
203.0,202.41,-0.588,-0.1028,319.9
204.0,203.55,-0.445,-0.0219,327.9
205.0,205.31,0.312,-0.1222,340.2
206.0,205.84,-0.16,-0.0697,343.9
207.0,206.89,-0.105,-0.0168,351.3
208.0,207.51,-0.49,0.0524,355.6
209.0,208.56,-0.436,0.1149,3.0
210.0,210.41,0.41,0.0252,15.9
211.0,210.67,-0.326,0.1101,17.7
212.0,209.69,-2.308,0.7264,21.3
213.0,212.9,-0.104,0.1721,29.8
214.0,215.51,1.508,0.0525,51.6
215.0,215.42,0.42,0.0495,50.9
216.0,215.86,-0.141,0.1113,54.0
217.0,217.09,0.09,0.0107,62.6
218.0,218.41,0.408,-0.1245,71.9
219.0,218.85,-0.152,-0.0615,74.9
220.0,218.86,-1.144,0.2999,79.7
221.0,220.52,-0.482,0.1395,86.6
222.0,222.45,0.451,-0.0083,100.2
223.0,222.8,-0.197,0.0639,102.6
224.0,224.38,0.385,-0.0555,113.7
225.0,224.82,-0.176,0.0087,116.8
226.0,226.67,0.67,-0.3212,129.7
227.0,227.02,0.021,-0.2553,132.2
228.0,227.64,-0.363,-0.2051,136.5
229.0,228.52,-0.484,-0.1414,142.6
230.0,229.57,-0.43,-0.0889,150.0
231.0,231.42,0.416,-0.1805,162.9
232.0,231.94,-0.057,-0.131,166.6
233.0,232.65,-0.354,-0.034,171.5
234.0,233.26,-0.738,0.1646,175.8
235.0,235.11,0.107,0.0613,188.8
236.0,235.55,-0.453,0.1352,191.8
237.0,236.6,-0.398,0.1895,199.2
238.0,237.57,-0.432,0.2511,206.0
239.0,239.77,0.766,-0.1769,221.4
240.0,240.12,0.117,-0.1133,223.8
241.0,240.73,-0.268,-0.0649,228.1
242.0,241.52,-0.477,-0.0016,233.7
243.0,243.37,0.369,-0.2248,246.6
244.0,243.9,-0.104,-0.1721,250.3
245.0,244.28,-0.724,-0.0277,260.2
246.0,245.57,-0.434,-0.0408,262.0
247.0,246.83,-0.166,0.1748,278.7
248.0,248.36,0.357,0.1834,281.7
249.0,249.43,0.434,0.1025,289.0
250.0,249.79,-0.215,0.1749,291.5
251.0,251.37,0.367,0.1046,302.6
252.0,253.83,1.83,-0.3952,319.8
253.0,253.39,0.389,-0.4093,316.7
254.0,253.83,-0.172,-0.3474,319.8
255.0,255.2,0.203,-0.3805,323.6
256.0,255.59,-0.414,-0.1132,332.1
257.0,256.9,-0.096,-0.1211,341.3
258.0,258.05,0.047,-0.0628,349.3
259.0,258.57,-0.426,0.019,353.0
260.0,259.54,-0.459,0.1026,359.8
261.0,261.04,0.035,0.0327,10.3
262.0,261.56,-0.437,0.1042,13.9
263.0,262.53,-0.471,0.2527,20.7
264.0,263.67,-0.328,0.2535,28.7
265.0,265.96,0.957,-0.2122,44.7
266.0,266.31,0.309,-0.1543,47.2
267.0,267.1,0.1,-0.1359,52.7
268.0,267.71,-0.285,-0.2261,57.0
269.0,269.21,0.209,-0.2816,67.5
270.0,269.61,-0.39,-0.1,68.7
271.0,270.53,-0.473,-0.0822,76.7
272.0,270.97,-1.033,0.1832,79.8
273.0,272.46,-0.539,0.3107,90.2
274.0,274.48,0.482,0.0491,104.4
275.0,274.75,-0.254,0.1322,106.2
276.0,275.54,-0.463,0.2049,111.8
277.0,277.29,0.295,-0.0074,124.1
278.0,278.35,0.351,-0.1787,131.5
279.0,278.53,-0.475,-0.071,132.7
280.0,279.4,-0.596,0.1297,138.8
281.0,280.63,-0.365,0.1711,147.5
282.0,282.48,0.481,-0.0537,160.4
283.0,283.36,0.359,-0.0575,166.5
284.0,283.8,-0.201,0.0054,169.6
285.0,284.59,-0.41,0.1379,175.1
286.0,286.17,0.172,0.0728,186.2
287.0,286.79,-0.213,0.1199,190.5
