target_deg,actual_deg,error_deg,vq_V,elec_deg
0.0,359.56,-0.439,0.0904,339.9
1.0,0.88,-0.121,0.0651,349.2
2.0,2.11,0.107,0.1685,344.6
3.0,2.55,-0.451,0.3528,0.8
4.0,5.06,1.058,0.0573,5.9
5.0,5.01,0.01,0.2524,18.1
6.0,5.54,-0.463,0.3245,21.8
7.0,6.5,-0.496,0.5061,28.5
8.0,8.61,0.613,0.0159,43.3
9.0,9.05,0.053,0.0724,46.4
10.0,10.46,0.459,0.0143,56.2
11.0,10.99,-0.014,0.0633,59.9
12.0,13.24,1.237,-0.2225,68.6
13.0,13.8,0.799,-0.2108,79.6
14.0,13.54,-0.465,0.022,77.8
15.0,14.85,-0.146,-0.004,87.0
16.0,16.17,0.172,-0.0148,96.2
17.0,17.49,0.49,-0.125,105.4
18.0,17.84,-0.158,-0.0525,107.9
19.0,18.11,-0.895,0.04,109.7
20.0,17.84,-2.157,0.1221,103.5
21.0,21.45,0.445,-0.4076,133.1
22.0,21.8,-0.203,-0.3352,135.6
23.0,22.24,-0.764,-0.1018,138.7
24.0,23.55,-0.445,0.0027,147.9
25.0,25.49,0.488,-0.2184,161.4
26.0,25.75,-0.248,-0.1355,163.3
27.0,26.46,-0.545,0.0619,168.2
28.0,27.51,-0.49,0.13,175.6
29.0,28.83,-0.172,0.0794,184.8
30.0,29.53,-0.469,0.1329,189.7
31.0,30.59,-0.414,0.2003,197.1
32.0,31.25,-0.75,0.4587,207.0
33.0,33.84,0.838,0.0089,219.9
34.0,34.1,0.102,0.0817,221.7
35.0,34.72,-0.283,0.1293,226.0
36.0,36.12,0.123,0.0862,235.9
37.0,37.09,0.09,0.0206,242.6
38.0,38.23,0.232,-0.005,250.6
39.0,38.76,-0.24,0.0507,254.3
40.0,38.91,-1.088,0.3363,261.0
41.0,40.52,-0.482,0.2837,266.6
42.0,42.54,0.539,-0.0166,280.8
43.0,42.89,-0.109,0.053,283.2
44.0,43.92,-0.078,-0.1394,284.3
45.0,44.56,-0.439,0.0085,294.9
46.0,46.58,0.582,-0.3005,309.1
47.0,46.93,-0.066,-0.2318,311.5
48.0,47.55,-0.451,-0.1635,315.8
49.0,48.78,-0.221,-0.1788,324.5
50.0,50.01,0.01,-0.1502,333.1
51.0,51.19,0.192,-0.1691,341.3
52.0,51.59,-0.408,0.0558,344.2
53.0,52.56,-0.441,0.0991,350.9
54.0,54.05,0.053,0.0502,1.4
55.0,55.11,0.107,0.0374,8.8
56.0,55.55,-0.453,0.1108,11.8
57.0,56.87,-0.135,0.1216,21.1
58.0,57.57,-0.432,0.2081,26.0
59.0,59.33,0.326,-0.075,38.3
60.0,59.85,-0.146,-0.0226,42.0
61.0,61.35,0.348,-0.083,52.4
62.0,61.79,-0.213,-0.019,55.5
63.0,63.46,0.457,-0.1224,67.2
64.0,63.81,-0.191,-0.0503,69.7
65.0,64.86,-0.137,-0.0219,77.1
66.0,65.57,-0.434,0.0859,82.0
67.0,66.18,-0.818,0.3591,86.3
68.0,68.47,0.467,0.1594,102.3
69.0,69.26,0.258,0.1405,107.8
70.0,69.61,-0.391,0.2186,110.3
71.0,69.79,-1.215,0.1564,111.5
72.0,72.31,0.311,-0.2828,133.4
73.0,73.52,0.52,-0.3377,137.4
74.0,73.56,-0.436,-0.2053,138.0
75.0,74.07,-0.928,0.0583,140.9
76.0,75.59,-0.414,-0.0082,152.1
77.0,76.64,-0.359,-0.0033,159.5
78.0,77.96,-0.041,-0.0303,168.7
79.0,78.57,-0.426,0.0544,173.0
80.0,80.33,0.332,-0.0886,185.3
81.0,80.77,-0.229,-0.0264,188.4
82.0,81.47,-0.525,0.1351,193.3
83.0,82.53,-0.471,0.2203,200.7
84.0,82.62,-1.383,0.2108,201.3
85.0,82.0,-2.998,0.236,197.0
86.0,86.13,0.133,-0.1729,225.9
87.0,87.45,0.451,-0.2423,235.2
88.0,87.89,-0.109,-0.1813,238.2
89.0,89.47,0.473,-0.3289,249.3
90.0,89.82,-0.176,-0.2566,251.8
91.0,90.79,-0.209,-0.1973,258.5
92.0,90.88,-1.121,0.1287,259.2
93.0,92.46,-0.539,0.2433,270.2
94.0,94.48,0.482,0.0314,284.4
95.0,95.01,0.01,0.0858,288.1
96.0,95.54,-0.463,0.1549,291.8
97.0,97.38,0.383,-0.0513,304.7
98.0,98.44,0.437,-0.1853,312.1
99.0,98.79,-0.211,-0.1126,314.5
100.0,99.58,-0.42,-0.0058,320.1
101.0,100.55,-0.453,0.1487,326.8
102.0,102.22,0.217,0.0193,338.5
103.0,102.83,-0.168,0.0651,342.8
104.0,103.71,-0.289,0.0867,349.0
105.0,104.85,-0.146,0.0869,357.0
106.0,106.08,0.084,0.1019,5.6
107.0,106.61,-0.389,0.162,9.3
108.0,107.58,-0.422,0.1963,16.1
109.0,108.54,-0.455,0.3975,22.8
110.0,111.97,1.973,-0.1807,46.8
111.0,111.53,0.533,-0.2206,43.7
112.0,111.88,-0.115,-0.1508,46.2
113.0,113.12,0.115,-0.1704,54.8
114.0,113.64,-0.357,-0.1106,58.5
115.0,115.49,0.488,-0.3239,71.4
116.0,115.84,-0.16,-0.2513,73.9
117.0,116.54,-0.457,-0.1749,78.8
118.0,117.33,-0.666,0.0362,84.3
119.0,118.83,-0.172,0.0089,94.8
120.0,119.71,-0.293,0.0281,101.0
121.0,120.59,-0.414,0.1039,107.1
122.0,121.55,-0.447,0.1295,113.9
123.0,124.45,1.453,-0.2812,134.2
124.0,124.45,0.453,-0.2859,134.2
125.0,124.8,-0.195,-0.2138,136.6
126.0,125.24,-0.756,0.0997,139.7
127.0,127.22,0.217,0.1144,150.0
128.0,127.53,-0.471,0.2127,155.7
129.0,128.94,-0.064,0.1755,165.6
130.0,129.9,-0.098,0.2053,172.3
131.0,130.52,-0.482,0.2597,176.6
132.0,132.36,0.363,0.0105,189.6
133.0,132.8,-0.197,0.0757,192.6
134.0,132.96,-1.045,0.1888,195.6
135.0,134.3,-0.703,0.3628,203.7
136.0,136.67,0.67,-0.1569,219.7
137.0,137.11,0.109,-0.1025,222.8
138.0,138.43,0.428,-0.1956,232.0
139.0,138.78,-0.221,-0.1227,234.5
140.0,140.89,0.889,-0.4078,249.2
141.0,141.33,0.328,-0.359,252.3
142.0,141.5,-0.496,-0.2537,253.5
143.0,142.82,-0.178,-0.1431,262.8
144.0,143.35,-0.65,0.0521,266.5
145.0,145.46,0.459,-0.0797,281.2
146.0,145.9,-0.102,-0.0196,284.3
147.0,146.6,-0.398,0.0209,289.2
148.0,146.87,-1.135,-0.0551,291.1
149.0,149.41,0.414,-0.2833,308.9
150.0,149.68,-0.322,-0.1988,310.8
151.0,150.56,-0.443,-0.1238,316.9
152.0,151.52,-0.477,-0.0483,323.7
153.0,152.37,-0.629,0.2279,329.8
154.0,153.9,-0.104,0.1703,340.3
155.0,154.51,-0.488,0.2336,344.6
156.0,155.57,-0.434,0.3216,352.0
157.0,156.53,-0.467,0.342,358.7
158.0,158.29,0.291,0.2577,11.0
159.0,158.82,-0.182,0.3121,14.7
160.0,159.61,-0.391,0.4613,20.3
161.0,159.49,-1.511,0.2064,19.8
162.0,163.83,1.828,-0.1916,49.8
163.0,163.48,0.477,-0.2124,47.3
164.0,163.83,-0.172,-0.141,49.8
165.0,164.62,-0.381,-0.1375,55.3
166.0,166.46,0.465,-0.3017,68.3
167.0,166.82,-0.184,-0.23,70.7
168.0,168.13,0.135,-0.2214,80.0
169.0,168.57,-0.426,-0.1364,83.0
170.0,169.28,-0.723,0.1781,87.9
171.0,171.12,0.119,0.0386,102.0
172.0,172.44,0.441,-0.1577,110.1
173.0,172.79,-0.207,-0.0846,112.6
174.0,174.73,0.727,-0.4839,126.1
175.0,175.08,0.078,-0.4195,128.6
176.0,175.78,-0.219,-0.3837,133.5
177.0,176.84,-0.164,-0.3837,140.9
178.0,176.77,-1.229,0.0211,148.8
179.0,178.51,-0.494,0.0216,152.5
180.0,179.58,-0.417,0.0819,159.2
181.0,180.53,-0.473,0.1618,166.7
182.0,181.85,-0.154,0.2011,175.9
183.0,182.55,-0.451,0.2814,180.8
184.0,183.98,-0.019,0.1783,196.9
